"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Alabama","01","2010","2010",283,4779736,5.9,6.0
,"Alabama","01","2011","2011",292,4802740,6.1,6.2
,"Alabama","01","2012","2012",306,4822023,6.3,6.6
,"Alabama","01","2013","2013",317,4833722,6.6,6.9
,"Alabama","01","2014","2014",292,4849377,6.0,6.4
,"Alabama","01","2015","2015",391,4858979,8.0,8.5
,"Alabama","01","2016","2016",454,4863300,9.3,9.8
,"Alabama","01","2017","2017",506,4874747,10.4,11.0
,"Alabama","01","2018","2018",468,4887871,9.6,10.2
,"Alabama","01","2019","2019",486,4903185,9.9,10.7
,"Alabama","01","2020","2020",564,4921532,11.5,12.4
"Total","Alabama","01",,,4359,53397212,8.2,8.6
,"Alaska","02","2010","2010",30,710231,4.2,4.2
,"Alaska","02","2011","2011",19,722718,Unreliable,Unreliable
,"Alaska","02","2012","2012",17,731449,Unreliable,Unreliable
,"Alaska","02","2013","2013",19,735132,Unreliable,Unreliable
,"Alaska","02","2014","2014",21,736732,2.9,2.6
,"Alaska","02","2015","2015",42,738432,5.7,5.3
,"Alaska","02","2016","2016",45,741894,6.1,6.1
,"Alaska","02","2017","2017",46,739795,6.2,6.4
,"Alaska","02","2018","2018",37,737438,5.0,5.1
,"Alaska","02","2019","2019",51,731545,7.0,7.2
,"Alaska","02","2020","2020",27,731158,3.7,3.8
"Total","Alaska","02",,,354,8056524,4.4,4.3
,"Arizona","04","2010","2010",271,6392017,4.2,4.4
,"Arizona","04","2011","2011",259,6482505,4.0,4.1
,"Arizona","04","2012","2012",254,6553255,3.9,4.0
,"Arizona","04","2013","2013",251,6626624,3.8,3.8
,"Arizona","04","2014","2014",212,6731484,3.1,3.3
,"Arizona","04","2015","2015",236,6828065,3.5,3.6
,"Arizona","04","2016","2016",303,6931071,4.4,4.5
,"Arizona","04","2017","2017",304,7016270,4.3,4.5
,"Arizona","04","2018","2018",293,7171646,4.1,4.3
,"Arizona","04","2019","2019",285,7278717,3.9,4.1
,"Arizona","04","2020","2020",382,7421401,5.1,5.5
"Total","Arizona","04",,,3050,75433055,4.0,4.2
,"Arkansas","05","2010","2010",132,2915918,4.5,4.7
,"Arkansas","05","2011","2011",145,2937979,4.9,5.3
,"Arkansas","05","2012","2012",166,2949131,5.6,5.9
,"Arkansas","05","2013","2013",152,2959373,5.1,5.3
,"Arkansas","05","2014","2014",161,2966369,5.4,5.7
,"Arkansas","05","2015","2015",155,2978204,5.2,5.3
,"Arkansas","05","2016","2016",182,2988248,6.1,6.4
,"Arkansas","05","2017","2017",192,3004279,6.4,6.8
,"Arkansas","05","2018","2018",194,3013825,6.4,6.7
,"Arkansas","05","2019","2019",208,3017804,6.9,7.4
,"Arkansas","05","2020","2020",282,3030522,9.3,10.1
"Total","Arkansas","05",,,1969,32761652,6.0,6.3
,"California","06","2010","2010",1342,37253956,3.6,3.5
,"California","06","2011","2011",1314,37691912,3.5,3.4
,"California","06","2012","2012",1362,38041430,3.6,3.5
,"California","06","2013","2013",1312,38332521,3.4,3.4
,"California","06","2014","2014",1233,38802500,3.2,3.2
,"California","06","2015","2015",1396,39144818,3.6,3.6
,"California","06","2016","2016",1467,39250017,3.7,3.7
,"California","06","2017","2017",1435,39536653,3.6,3.7
,"California","06","2018","2018",1275,39557045,3.2,3.2
,"California","06","2019","2019",1246,39512223,3.2,3.2
,"California","06","2020","2020",1731,39368078,4.4,4.5
"Total","California","06",,,15113,426491153,3.5,3.5
,"Colorado","08","2010","2010",97,5029196,1.9,1.9
,"Colorado","08","2011","2011",101,5116796,2.0,2.0
,"Colorado","08","2012","2012",115,5187582,2.2,2.2
,"Colorado","08","2013","2013",106,5268367,2.0,2.0
,"Colorado","08","2014","2014",102,5355866,1.9,1.9
,"Colorado","08","2015","2015",137,5456574,2.5,2.5
,"Colorado","08","2016","2016",161,5540545,2.9,2.9
,"Colorado","08","2017","2017",160,5607154,2.9,2.8
,"Colorado","08","2018","2018",188,5695564,3.3,3.3
,"Colorado","08","2019","2019",164,5758736,2.8,2.9
,"Colorado","08","2020","2020",235,5807719,4.0,4.1
"Total","Colorado","08",,,1566,59824099,2.6,2.6
,"Connecticut","09","2010","2010",98,3574097,2.7,2.9
,"Connecticut","09","2011","2011",96,3580709,2.7,2.9
,"Connecticut","09","2012","2012",114,3590347,3.2,3.4
,"Connecticut","09","2013","2013",66,3596080,1.8,1.9
,"Connecticut","09","2014","2014",58,3596677,1.6,1.7
,"Connecticut","09","2015","2015",80,3590886,2.2,2.4
,"Connecticut","09","2016","2016",55,3576452,1.5,1.6
,"Connecticut","09","2017","2017",73,3588184,2.0,2.2
,"Connecticut","09","2018","2018",54,3572665,1.5,1.7
,"Connecticut","09","2019","2019",65,3565287,1.8,2.0
,"Connecticut","09","2020","2020",101,3557006,2.8,3.1
"Total","Connecticut","09",,,860,39388390,2.2,2.4
,"Delaware","10","2010","2010",45,897934,5.0,5.2
,"Delaware","10","2011","2011",31,907135,3.4,3.5
,"Delaware","10","2012","2012",46,917092,5.0,5.2
,"Delaware","10","2013","2013",38,925749,4.1,4.3
,"Delaware","10","2014","2014",38,935614,4.1,4.5
,"Delaware","10","2015","2015",53,945934,5.6,6.1
,"Delaware","10","2016","2016",44,952065,4.6,5.0
,"Delaware","10","2017","2017",57,961939,5.9,6.3
,"Delaware","10","2018","2018",46,967171,4.8,5.5
,"Delaware","10","2019","2019",45,973764,4.6,5.2
,"Delaware","10","2020","2020",76,986809,7.7,8.7
"Total","Delaware","10",,,519,10371206,5.0,5.4
,"District of Columbia","11","2010","2010",84,601723,14.0,11.7
,"District of Columbia","11","2011","2011",77,617996,12.5,10.4
,"District of Columbia","11","2012","2012",55,632323,8.7,7.3
,"District of Columbia","11","2013","2013",61,646449,9.4,7.6
,"District of Columbia","11","2014","2014",67,658893,10.2,9.1
,"District of Columbia","11","2015","2015",105,672228,15.6,13.2
,"District of Columbia","11","2016","2016",98,681170,14.4,12.8
,"District of Columbia","11","2017","2017",90,693972,13.0,11.6
,"District of Columbia","11","2018","2018",116,702455,16.5,15.6
,"District of Columbia","11","2019","2019",128,705749,18.1,16.5
,"District of Columbia","11","2020","2020",157,712816,22.0,20.4
"Total","District of Columbia","11",,,1038,7325774,14.2,12.4
,"Florida","12","2010","2010",767,18801310,4.1,4.3
,"Florida","12","2011","2011",817,19057542,4.3,4.6
,"Florida","12","2012","2012",862,19317568,4.5,4.7
,"Florida","12","2013","2013",816,19552860,4.2,4.5
,"Florida","12","2014","2014",818,19893297,4.1,4.5
,"Florida","12","2015","2015",880,20271272,4.3,4.7
,"Florida","12","2016","2016",992,20612439,4.8,5.3
,"Florida","12","2017","2017",947,20984400,4.5,4.9
,"Florida","12","2018","2018",977,21299325,4.6,5.0
,"Florida","12","2019","2019",1010,21477737,4.7,5.2
,"Florida","12","2020","2020",1227,21733312,5.6,6.3
"Total","Florida","12",,,10113,223001062,4.5,4.9
,"Georgia","13","2010","2010",443,9687653,4.6,4.5
,"Georgia","13","2011","2011",439,9815210,4.5,4.5
,"Georgia","13","2012","2012",481,9919945,4.8,4.8
