"Notes","State","State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","2010","2010","15-24 years","15-24",83,678793,12.2
,"Alabama","01","2010","2010","25-34 years","25-34",82,608922,13.5
,"Alabama","01","2010","2010","35-44 years","35-44",40,619501,6.5
,"Alabama","01","2010","2010","45-54 years","45-54",40,693854,5.8
,"Alabama","01","2010","2010","55-64 years","55-64",25,588033,4.3
,"Alabama","01","2011","2011","15-24 years","15-24",85,681235,12.5
,"Alabama","01","2011","2011","25-34 years","25-34",97,614507,15.8
,"Alabama","01","2011","2011","35-44 years","35-44",38,608252,6.2
,"Alabama","01","2011","2011","45-54 years","45-54",33,685148,4.8
,"Alabama","01","2011","2011","55-64 years","55-64",16,610224,Unreliable
,"Alabama","01","2011","2011","65-74 years","65-74",11,380180,Unreliable
,"Alabama","01","2012","2012","15-24 years","15-24",99,676612,14.6
,"Alabama","01","2012","2012","25-34 years","25-34",79,617757,12.8
,"Alabama","01","2012","2012","35-44 years","35-44",56,606667,9.2
,"Alabama","01","2012","2012","45-54 years","45-54",34,673464,5.0
,"Alabama","01","2012","2012","55-64 years","55-64",17,615408,Unreliable
,"Alabama","01","2012","2012","65-74 years","65-74",11,402571,Unreliable
,"Alabama","01","2013","2013","15-24 years","15-24",90,676183,13.3
,"Alabama","01","2013","2013","25-34 years","25-34",98,620984,15.8
,"Alabama","01","2013","2013","35-44 years","35-44",61,607139,10.0
,"Alabama","01","2013","2013","45-54 years","45-54",40,664435,6.0
,"Alabama","01","2013","2013","55-64 years","55-64",13,622799,Unreliable
,"Alabama","01","2014","2014","15-24 years","15-24",71,671198,10.6
,"Alabama","01","2014","2014","25-34 years","25-34",90,626387,14.4
,"Alabama","01","2014","2014","35-44 years","35-44",69,605590,11.4
,"Alabama","01","2014","2014","45-54 years","45-54",29,656585,4.4
,"Alabama","01","2014","2014","55-64 years","55-64",12,629476,Unreliable
,"Alabama","01","2014","2014","65-74 years","65-74",13,435428,Unreliable
,"Alabama","01","2015","2015","15-24 years","15-24",100,663182,15.1
,"Alabama","01","2015","2015","25-34 years","25-34",123,632726,19.4
,"Alabama","01","2015","2015","35-44 years","35-44",73,602496,12.1
,"Alabama","01","2015","2015","45-54 years","45-54",55,649442,8.5
,"Alabama","01","2015","2015","55-64 years","55-64",24,637997,3.8
,"Alabama","01","2016","2016","15-24 years","15-24",140,653876,21.4
,"Alabama","01","2016","2016","25-34 years","25-34",134,637487,21.0
,"Alabama","01","2016","2016","35-44 years","35-44",87,595713,14.6
,"Alabama","01","2016","2016","45-54 years","45-54",41,644018,6.4
,"Alabama","01","2016","2016","55-64 years","55-64",24,645092,3.7
,"Alabama","01","2016","2016","65-74 years","65-74",17,464669,Unreliable
,"Alabama","01","2017","2017","15-24 years","15-24",140,648404,21.6
,"Alabama","01","2017","2017","25-34 years","25-34",156,640302,24.4
,"Alabama","01","2017","2017","35-44 years","35-44",92,591795,15.5
,"Alabama","01","2017","2017","45-54 years","45-54",54,636632,8.5
,"Alabama","01","2017","2017","55-64 years","55-64",32,650545,4.9
,"Alabama","01","2017","2017","65-74 years","65-74",17,477332,Unreliable
,"Alabama","01","2018","2018","15-24 years","15-24",134,640900,20.9
,"Alabama","01","2018","2018","25-34 years","25-34",137,643540,21.3
,"Alabama","01","2018","2018","35-44 years","35-44",90,592302,15.2
,"Alabama","01","2018","2018","45-54 years","45-54",45,627458,7.2
,"Alabama","01","2018","2018","55-64 years","55-64",37,655179,5.6
,"Alabama","01","2018","2018","65-74 years","65-74",14,487721,Unreliable
,"Alabama","01","2019","2019","15-24 years","15-24",118,635707,18.6
,"Alabama","01","2019","2019","25-34 years","25-34",143,647229,22.1
,"Alabama","01","2019","2019","35-44 years","35-44",109,593306,18.4
,"Alabama","01","2019","2019","45-54 years","45-54",49,616616,7.9
,"Alabama","01","2019","2019","55-64 years","55-64",31,657667,4.7
,"Alabama","01","2019","2019","65-74 years","65-74",17,501447,Unreliable
,"Alabama","01","2020","2020","15-24 years","15-24",167,633391,26.4
,"Alabama","01","2020","2020","25-34 years","25-34",171,650546,26.3
,"Alabama","01","2020","2020","35-44 years","35-44",109,596362,18.3
,"Alabama","01","2020","2020","45-54 years","45-54",63,608174,10.4
,"Alabama","01","2020","2020","55-64 years","55-64",35,657281,5.3
,"Alabama","01","2020","2020","65-74 years","65-74",14,517717,Unreliable
,"Alaska","02","2015","2015","15-24 years","15-24",13,110527,Unreliable
,"Alaska","02","2015","2015","25-34 years","25-34",11,120486,Unreliable
,"Alaska","02","2016","2016","15-24 years","15-24",14,105364,Unreliable
,"Alaska","02","2016","2016","25-34 years","25-34",15,120453,Unreliable
,"Alaska","02","2017","2017","15-24 years","15-24",13,101519,Unreliable
,"Alaska","02","2017","2017","25-34 years","25-34",13,120215,Unreliable
,"Alaska","02","2018","2018","15-24 years","15-24",10,99263,Unreliable
,"Alaska","02","2018","2018","25-34 years","25-34",12,118865,Unreliable
,"Alaska","02","2019","2019","15-24 years","15-24",10,96393,Unreliable
,"Alaska","02","2019","2019","25-34 years","25-34",13,117588,Unreliable
,"Alaska","02","2019","2019","35-44 years","35-44",13,95765,Unreliable
,"Arizona","04","2010","2010","15-24 years","15-24",76,904166,8.4
,"Arizona","04","2010","2010","25-34 years","25-34",84,856693,9.8
